2026-09-11 15:14:15 [info] Log-Datei: C:\Lager\lager-barcode-generator\log\barcode_20260911_151415_228.log
2026-09-11 15:14:15 [info] 77 Eintraege gefunden.
2026-09-11 15:14:15 [info] Vorlage: C:\Lager\lager-barcode-generator\Templates\MV-ABC.png
2026-09-11 15:14:15 [info] Ausgabe: C:\Lager\lager-barcode-generator\output
2026-09-11 15:14:15 [info] Erstellt: lagerplatz_01A01.png {"dauerMs":160}
2026-09-11 15:14:15 [info] Erstellt: lagerplatz_01A02.png {"dauerMs":158}
2026-09-11 15:14:15 [info] Erstellt: lagerplatz_01A03.png {"dauerMs":165}
2026-09-11 15:14:15 [info] Erstellt: lagerplatz_01A04.png {"dauerMs":144}
2026-09-11 15:14:16 [info] Erstellt: lagerplatz_01A05.png {"dauerMs":142}
2026-09-11 15:14:16 [info] Erstellt: lagerplatz_01A06.png {"dauerMs":154}
2026-09-11 15:14:16 [info] Erstellt: lagerplatz_01A07.png {"dauerMs":157}
2026-09-11 15:14:16 [info] Erstellt: lagerplatz_01A08.png {"dauerMs":143}
2026-09-11 15:14:16 [info] Erstellt: lagerplatz_01A09.png {"dauerMs":160}
2026-09-11 15:14:16 [info] Erstellt: lagerplatz_01A10.png {"dauerMs":155}
2026-09-11 15:14:16 [info] Erstellt: lagerplatz_01A11.png {"dauerMs":137}
2026-09-11 15:14:17 [info] Erstellt: lagerplatz_01A12.png {"dauerMs":135}
2026-09-11 15:14:17 [info] Erstellt: lagerplatz_01A13.png {"dauerMs":142}
2026-09-11 15:14:17 [info] Erstellt: lagerplatz_01A14.png {"dauerMs":141}
2026-09-11 15:14:17 [info] Erstellt: lagerplatz_01A15.png {"dauerMs":158}
2026-09-11 15:14:17 [info] Erstellt: lagerplatz_01A16.png {"dauerMs":133}
2026-09-11 15:14:17 [info] Erstellt: lagerplatz_01A17.png {"dauerMs":134}
2026-09-11 15:14:17 [info] Erstellt: lagerplatz_01A18.png {"dauerMs":137}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01A19.png {"dauerMs":125}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01A20.png {"dauerMs":125}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01A21.png {"dauerMs":141}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01A22.png {"dauerMs":133}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01B01.png {"dauerMs":125}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01B02.png {"dauerMs":127}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01B03.png {"dauerMs":145}
2026-09-11 15:14:18 [info] Erstellt: lagerplatz_01B04.png {"dauerMs":149}
2026-09-11 15:14:19 [info] Erstellt: lagerplatz_01B05.png {"dauerMs":131}
2026-09-11 15:14:19 [info] Erstellt: lagerplatz_01B06.png {"dauerMs":125}
2026-09-11 15:14:19 [info] Erstellt: lagerplatz_01B07.png {"dauerMs":134}
2026-09-11 15:14:19 [info] Erstellt: lagerplatz_01B08.png {"dauerMs":132}
2026-09-11 15:14:19 [info] Erstellt: lagerplatz_01B09.png {"dauerMs":137}
2026-09-11 15:14:19 [info] Erstellt: lagerplatz_01B10.png {"dauerMs":128}
2026-09-11 15:14:19 [info] Erstellt: lagerplatz_01B11.png {"dauerMs":125}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B12.png {"dauerMs":120}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B13.png {"dauerMs":144}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B14.png {"dauerMs":126}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B15.png {"dauerMs":125}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B16.png {"dauerMs":139}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B17.png {"dauerMs":123}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B18.png {"dauerMs":134}
2026-09-11 15:14:20 [info] Erstellt: lagerplatz_01B19.png {"dauerMs":120}
2026-09-11 15:14:21 [info] Erstellt: lagerplatz_01B20.png {"dauerMs":126}
2026-09-11 15:14:21 [info] Erstellt: lagerplatz_01B21.png {"dauerMs":145}
2026-09-11 15:14:21 [info] Erstellt: lagerplatz_01B22.png {"dauerMs":127}
2026-09-11 15:14:21 [info] Erstellt: lagerplatz_01C01.png {"dauerMs":117}
2026-09-11 15:14:21 [info] Erstellt: lagerplatz_01C02.png {"dauerMs":124}
2026-09-11 15:14:21 [info] Erstellt: lagerplatz_01C03.png {"dauerMs":165}
2026-09-11 15:14:21 [info] Erstellt: lagerplatz_01C04.png {"dauerMs":149}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C05.png {"dauerMs":122}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C06.png {"dauerMs":147}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C07.png {"dauerMs":134}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C08.png {"dauerMs":140}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C09.png {"dauerMs":127}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C10.png {"dauerMs":142}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C11.png {"dauerMs":152}
2026-09-11 15:14:22 [info] Erstellt: lagerplatz_01C12.png {"dauerMs":124}
2026-09-11 15:14:23 [info] Erstellt: lagerplatz_01C13.png {"dauerMs":152}
2026-09-11 15:14:23 [info] Erstellt: lagerplatz_01C14.png {"dauerMs":143}
2026-09-11 15:14:23 [info] Erstellt: lagerplatz_01C15.png {"dauerMs":139}
2026-09-11 15:14:23 [info] Erstellt: lagerplatz_01C16.png {"dauerMs":126}
2026-09-11 15:14:23 [info] Erstellt: lagerplatz_01C17.png {"dauerMs":134}
2026-09-11 15:14:23 [info] Erstellt: lagerplatz_01C18.png {"dauerMs":121}
2026-09-11 15:14:23 [info] Erstellt: lagerplatz_01C19.png {"dauerMs":146}
2026-09-11 15:14:24 [info] Erstellt: lagerplatz_01C20.png {"dauerMs":124}
2026-09-11 15:14:24 [info] Erstellt: lagerplatz_01C21.png {"dauerMs":122}
2026-09-11 15:14:24 [info] Erstellt: lagerplatz_01C22.png {"dauerMs":144}
2026-09-11 15:14:24 [info] Erstellt: lagerplatz_01C23.png {"dauerMs":204}
2026-09-11 15:14:24 [info] Erstellt: lagerplatz_01C24.png {"dauerMs":125}
2026-09-11 15:14:24 [info] Erstellt: lagerplatz_01C25.png {"dauerMs":124}
2026-09-11 15:14:24 [info] Erstellt: lagerplatz_01C26.png {"dauerMs":133}
2026-09-11 15:14:25 [info] Erstellt: lagerplatz_01C27.png {"dauerMs":122}
2026-09-11 15:14:25 [info] Erstellt: lagerplatz_01C28.png {"dauerMs":133}
2026-09-11 15:14:25 [info] Erstellt: lagerplatz_01C29.png {"dauerMs":135}
2026-09-11 15:14:25 [info] Erstellt: lagerplatz_01C30.png {"dauerMs":126}
2026-09-11 15:14:25 [info] Erstellt: lagerplatz_01C31.png {"dauerMs":137}
2026-09-11 15:14:25 [info] Erstellt: lagerplatz_01C32.png {"dauerMs":151}
2026-09-11 15:14:25 [info] Erstellt: lagerplatz_01C33.png {"dauerMs":124}
2026-09-11 15:14:25 [info] Fertig. 77 erstellt, 0 uebersprungen. {"gesamtDauerMs":10662}
