2026-09-11 15:35:18 [info] Log-Datei: C:\Lager\lager-barcode-generator\log\barcode_20260911_153518_202.log
2026-09-11 15:35:18 [info] 77 Eintraege gefunden.
2026-09-11 15:35:18 [info] Vorlage: C:\Lager\lager-barcode-generator\Templates\MV-ABC.png
2026-09-11 15:35:18 [info] Ausgabe: C:\Lager\lager-barcode-generator\output
2026-09-11 15:35:18 [info] Erstellt: lagerplatz_05A01.png {"dauerMs":135}
2026-09-11 15:35:18 [info] Erstellt: lagerplatz_05A02.png {"dauerMs":136}
2026-09-11 15:35:18 [info] Erstellt: lagerplatz_05A03.png {"dauerMs":136}
2026-09-11 15:35:18 [info] Erstellt: lagerplatz_05A04.png {"dauerMs":130}
2026-09-11 15:35:18 [info] Erstellt: lagerplatz_05A05.png {"dauerMs":139}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A06.png {"dauerMs":131}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A07.png {"dauerMs":133}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A08.png {"dauerMs":139}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A09.png {"dauerMs":130}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A10.png {"dauerMs":126}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A11.png {"dauerMs":129}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A12.png {"dauerMs":118}
2026-09-11 15:35:19 [info] Erstellt: lagerplatz_05A13.png {"dauerMs":125}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A14.png {"dauerMs":149}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A15.png {"dauerMs":135}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A16.png {"dauerMs":112}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A17.png {"dauerMs":111}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A18.png {"dauerMs":111}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A19.png {"dauerMs":126}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A20.png {"dauerMs":105}
2026-09-11 15:35:20 [info] Erstellt: lagerplatz_05A21.png {"dauerMs":108}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05A22.png {"dauerMs":119}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B01.png {"dauerMs":106}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B02.png {"dauerMs":108}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B03.png {"dauerMs":124}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B04.png {"dauerMs":111}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B05.png {"dauerMs":116}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B06.png {"dauerMs":111}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B07.png {"dauerMs":109}
2026-09-11 15:35:21 [info] Erstellt: lagerplatz_05B08.png {"dauerMs":110}
2026-09-11 15:35:22 [info] Erstellt: lagerplatz_05B09.png {"dauerMs":106}
2026-09-11 15:35:22 [info] Erstellt: lagerplatz_05B10.png {"dauerMs":131}
2026-09-11 15:35:22 [info] Erstellt: lagerplatz_05B11.png {"dauerMs":108}
2026-09-11 15:35:22 [info] Erstellt: lagerplatz_05B12.png {"dauerMs":119}
2026-09-11 15:35:22 [info] Erstellt: lagerplatz_05B13.png {"dauerMs":203}
2026-09-11 15:35:22 [info] Erstellt: lagerplatz_05B14.png {"dauerMs":185}
2026-09-11 15:35:22 [info] Erstellt: lagerplatz_05B15.png {"dauerMs":160}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05B16.png {"dauerMs":110}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05B17.png {"dauerMs":105}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05B18.png {"dauerMs":112}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05B19.png {"dauerMs":137}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05B20.png {"dauerMs":141}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05B21.png {"dauerMs":142}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05B22.png {"dauerMs":132}
2026-09-11 15:35:23 [info] Erstellt: lagerplatz_05C01.png {"dauerMs":120}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C02.png {"dauerMs":133}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C03.png {"dauerMs":110}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C04.png {"dauerMs":108}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C05.png {"dauerMs":112}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C06.png {"dauerMs":118}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C07.png {"dauerMs":110}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C08.png {"dauerMs":110}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C09.png {"dauerMs":118}
2026-09-11 15:35:24 [info] Erstellt: lagerplatz_05C10.png {"dauerMs":104}
2026-09-11 15:35:25 [info] Erstellt: lagerplatz_05C11.png {"dauerMs":112}
2026-09-11 15:35:25 [info] Erstellt: lagerplatz_05C12.png {"dauerMs":106}
2026-09-11 15:35:25 [info] Erstellt: lagerplatz_05C13.png {"dauerMs":117}
2026-09-11 15:35:25 [info] Erstellt: lagerplatz_05C14.png {"dauerMs":123}
2026-09-11 15:35:25 [info] Erstellt: lagerplatz_05C15.png {"dauerMs":174}
2026-09-11 15:35:25 [info] Erstellt: lagerplatz_05C16.png {"dauerMs":188}
2026-09-11 15:35:25 [info] Erstellt: lagerplatz_05C17.png {"dauerMs":161}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C18.png {"dauerMs":154}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C19.png {"dauerMs":158}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C20.png {"dauerMs":130}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C21.png {"dauerMs":119}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C22.png {"dauerMs":125}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C23.png {"dauerMs":121}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C24.png {"dauerMs":100}
2026-09-11 15:35:26 [info] Erstellt: lagerplatz_05C25.png {"dauerMs":106}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C26.png {"dauerMs":118}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C27.png {"dauerMs":112}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C28.png {"dauerMs":112}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C29.png {"dauerMs":107}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C30.png {"dauerMs":111}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C31.png {"dauerMs":121}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C32.png {"dauerMs":112}
2026-09-11 15:35:27 [info] Erstellt: lagerplatz_05C33.png {"dauerMs":114}
