2026-09-11 15:31:53 [info] Log-Datei: C:\Lager\lager-barcode-generator\log\barcode_20260911_153153_521.log
2026-09-11 15:31:53 [info] 77 Eintraege gefunden.
2026-09-11 15:31:53 [info] Vorlage: C:\Lager\lager-barcode-generator\Templates\MV-ABC.png
2026-09-11 15:31:53 [info] Ausgabe: C:\Lager\lager-barcode-generator\output
2026-09-11 15:31:53 [info] Erstellt: lagerplatz_03A01.png {"dauerMs":140}
2026-09-11 15:31:53 [info] Erstellt: lagerplatz_03A02.png {"dauerMs":133}
2026-09-11 15:31:53 [info] Erstellt: lagerplatz_03A03.png {"dauerMs":138}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A04.png {"dauerMs":139}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A05.png {"dauerMs":133}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A06.png {"dauerMs":128}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A07.png {"dauerMs":130}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A08.png {"dauerMs":140}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A09.png {"dauerMs":141}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A10.png {"dauerMs":125}
2026-09-11 15:31:54 [info] Erstellt: lagerplatz_03A11.png {"dauerMs":114}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A12.png {"dauerMs":117}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A13.png {"dauerMs":112}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A14.png {"dauerMs":150}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A15.png {"dauerMs":115}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A16.png {"dauerMs":125}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A17.png {"dauerMs":112}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A18.png {"dauerMs":100}
2026-09-11 15:31:55 [info] Erstellt: lagerplatz_03A19.png {"dauerMs":103}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03A20.png {"dauerMs":112}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03A21.png {"dauerMs":107}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03A22.png {"dauerMs":109}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03B01.png {"dauerMs":104}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03B02.png {"dauerMs":109}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03B03.png {"dauerMs":105}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03B04.png {"dauerMs":116}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03B05.png {"dauerMs":108}
2026-09-11 15:31:56 [info] Erstellt: lagerplatz_03B06.png {"dauerMs":113}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B07.png {"dauerMs":103}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B08.png {"dauerMs":101}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B09.png {"dauerMs":106}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B10.png {"dauerMs":109}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B11.png {"dauerMs":103}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B12.png {"dauerMs":110}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B13.png {"dauerMs":105}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B14.png {"dauerMs":143}
2026-09-11 15:31:57 [info] Erstellt: lagerplatz_03B15.png {"dauerMs":178}
2026-09-11 15:31:58 [info] Erstellt: lagerplatz_03B16.png {"dauerMs":135}
2026-09-11 15:31:58 [info] Erstellt: lagerplatz_03B17.png {"dauerMs":141}
2026-09-11 15:31:58 [info] Erstellt: lagerplatz_03B18.png {"dauerMs":113}
2026-09-11 15:31:58 [info] Erstellt: lagerplatz_03B19.png {"dauerMs":102}
2026-09-11 15:31:58 [info] Erstellt: lagerplatz_03B20.png {"dauerMs":115}
2026-09-11 15:31:58 [info] Erstellt: lagerplatz_03B21.png {"dauerMs":147}
2026-09-11 15:31:58 [info] Erstellt: lagerplatz_03B22.png {"dauerMs":138}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C01.png {"dauerMs":122}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C02.png {"dauerMs":126}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C03.png {"dauerMs":127}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C04.png {"dauerMs":113}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C05.png {"dauerMs":110}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C06.png {"dauerMs":106}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C07.png {"dauerMs":105}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C08.png {"dauerMs":107}
2026-09-11 15:31:59 [info] Erstellt: lagerplatz_03C09.png {"dauerMs":103}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C10.png {"dauerMs":106}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C11.png {"dauerMs":114}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C12.png {"dauerMs":105}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C13.png {"dauerMs":100}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C14.png {"dauerMs":109}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C15.png {"dauerMs":102}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C16.png {"dauerMs":116}
2026-09-11 15:32:00 [info] Erstellt: lagerplatz_03C17.png {"dauerMs":133}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C18.png {"dauerMs":212}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C19.png {"dauerMs":189}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C20.png {"dauerMs":140}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C21.png {"dauerMs":111}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C22.png {"dauerMs":109}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C23.png {"dauerMs":114}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C24.png {"dauerMs":137}
2026-09-11 15:32:01 [info] Erstellt: lagerplatz_03C25.png {"dauerMs":122}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C26.png {"dauerMs":130}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C27.png {"dauerMs":129}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C28.png {"dauerMs":129}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C29.png {"dauerMs":108}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C30.png {"dauerMs":110}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C31.png {"dauerMs":105}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C32.png {"dauerMs":108}
2026-09-11 15:32:02 [info] Erstellt: lagerplatz_03C33.png {"dauerMs":108}
2026-09-11 15:32:02 [info] Fertig. 77 erstellt, 0 uebersprungen. {"gesamtDauerMs":9347}
