2026-09-11 13:49:58 [info] Log-Datei: C:\Lager\lager-barcode-generator\log\barcode_20260911_134958_569.log
2026-09-11 13:49:58 [info] 77 Eintraege gefunden.
2026-09-11 13:49:58 [info] Vorlage: C:\Lager\lager-barcode-generator\Templates\MV-ABC.png
2026-09-11 13:49:58 [info] Ausgabe: C:\Lager\lager-barcode-generator\output
2026-09-11 13:49:58 [info] Erstellt: lagerplatz_01A01.png {"dauerMs":140}
2026-09-11 13:49:58 [info] Erstellt: lagerplatz_01A02.png {"dauerMs":133}
2026-09-11 13:49:58 [info] Erstellt: lagerplatz_01A03.png {"dauerMs":126}
2026-09-11 13:49:59 [info] Erstellt: lagerplatz_01A04.png {"dauerMs":124}
2026-09-11 13:49:59 [info] Erstellt: lagerplatz_01A05.png {"dauerMs":129}
2026-09-11 13:49:59 [info] Erstellt: lagerplatz_01A06.png {"dauerMs":127}
2026-09-11 13:49:59 [info] Erstellt: lagerplatz_01A07.png {"dauerMs":128}
2026-09-11 13:49:59 [info] Erstellt: lagerplatz_01A08.png {"dauerMs":156}
2026-09-11 13:49:59 [info] Erstellt: lagerplatz_01A09.png {"dauerMs":132}
2026-09-11 13:49:59 [info] Erstellt: lagerplatz_01A10.png {"dauerMs":124}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A11.png {"dauerMs":125}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A12.png {"dauerMs":116}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A13.png {"dauerMs":104}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A14.png {"dauerMs":118}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A15.png {"dauerMs":100}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A16.png {"dauerMs":107}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A17.png {"dauerMs":110}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A18.png {"dauerMs":109}
2026-09-11 13:50:00 [info] Erstellt: lagerplatz_01A19.png {"dauerMs":103}
2026-09-11 13:50:01 [info] Erstellt: lagerplatz_01A20.png {"dauerMs":99}
2026-09-11 13:50:01 [info] Erstellt: lagerplatz_01A21.png {"dauerMs":117}
2026-09-11 13:50:01 [info] Erstellt: lagerplatz_01A22.png {"dauerMs":113}
2026-09-11 13:50:01 [info] Erstellt: lagerplatz_01B01.png {"dauerMs":109}
