**********************
Beginn des PowerShell-Transkripts
Startzeit: 20260914064413
Benutzername: MAXHAMBI\Max Hambi
RunAs-Benutzer: MAXHAMBI\Max Hambi
Konfigurationsname: 
Computer: MAXHAMBI (Microsoft Windows NT 10.0.26200.0)
Hostanwendung: C:\Program Files\PowerShell\7\pwsh.dll -NoProfile -ExecutionPolicy Bypass -Command Import-Module 'c:\Users\Max Hambi\.vscode\extensions\ms-vscode.powershell-2025.4.0\modules\PowerShellEditorServices\PowerShellEditorServices.psd1'; Start-EditorServices -HostName 'Visual Studio Code Host' -HostProfileId 'Microsoft.VSCode' -HostVersion '2025.4.0' -BundledModulesPath 'c:\Users\Max Hambi\.vscode\extensions\ms-vscode.powershell-2025.4.0\modules' -EnableConsoleRepl -StartupBanner "PowerShell Extension v2025.4.0
Copyright (c) Microsoft Corporation.

https://aka.ms/vscode-powershell
Type 'help' to get help.
" -LogLevel 'Warning' -LogPath 'c:\Users\Max Hambi\AppData\Roaming\Code\logs\20260914T051853\window1\exthost\ms-vscode.powershell' -SessionDetailsPath 'c:\Users\Max Hambi\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\sessions\PSES-VSCode-20716-829502.json' -FeatureFlags @() 
Prozess-ID: 22828
PSVersion: 7.6.6
PSEdition: Core
GitCommitId: 7.6.6
OS: Microsoft Windows 10.0.26200
Platform: Win32NT
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1, 6.0, 7.0
PSRemotingProtocolVersion: 2.4
SerializationVersion: 1.1.0.1
WSManStackVersion: 3.0
**********************
2026-09-14 06:44:28 [info] Erstellt: 02C25.png {"dauerMs":256}
2026-09-14 06:44:28 [info] Erstellt: 02C26.png {"dauerMs":253}
2026-09-14 06:44:28 [info] Erstellt: 02C27.png {"dauerMs":253}
2026-09-14 06:44:29 [info] Erstellt: 02C28.png {"dauerMs":256}
2026-09-14 06:44:29 [info] Erstellt: 02C29.png {"dauerMs":254}
2026-09-14 06:44:29 [info] Erstellt: 02C30.png {"dauerMs":258}
2026-09-14 06:44:29 [info] Erstellt: 02C31.png {"dauerMs":248}
2026-09-14 06:44:30 [info] Erstellt: 02C32.png {"dauerMs":242}
2026-09-14 06:44:30 [info] Erstellt: 02C33.png {"dauerMs":251}
2026-09-14 06:44:30 [info] Erstellt: 03C01.png {"dauerMs":249}
2026-09-14 06:44:30 [info] Erstellt: 03C02.png {"dauerMs":250}
2026-09-14 06:44:31 [info] Erstellt: 03C03.png {"dauerMs":252}
2026-09-14 06:44:31 [info] Erstellt: 03C04.png {"dauerMs":334}
2026-09-14 06:44:31 [info] Erstellt: 03C05.png {"dauerMs":284}
2026-09-14 06:44:32 [info] Erstellt: 03C06.png {"dauerMs":263}
2026-09-14 06:44:32 [info] Erstellt: 03C07.png {"dauerMs":253}
2026-09-14 06:44:32 [info] Erstellt: 03C08.png {"dauerMs":262}
2026-09-14 06:44:32 [info] Erstellt: 03C09.png {"dauerMs":263}
2026-09-14 06:44:33 [info] Erstellt: 03C10.png {"dauerMs":272}
2026-09-14 06:44:33 [info] Erstellt: 03C11.png {"dauerMs":252}
2026-09-14 06:44:33 [info] Erstellt: 03C12.png {"dauerMs":246}
2026-09-14 06:44:33 [info] Erstellt: 03C13.png {"dauerMs":284}
2026-09-14 06:44:34 [info] Erstellt: 03C14.png {"dauerMs":243}
2026-09-14 06:44:34 [info] Erstellt: 03C15.png {"dauerMs":294}
2026-09-14 06:44:34 [info] Erstellt: 03C16.png {"dauerMs":319}
2026-09-14 06:44:35 [info] Erstellt: 03C17.png {"dauerMs":278}
2026-09-14 06:44:35 [info] Erstellt: 03C18.png {"dauerMs":261}
2026-09-14 06:44:35 [info] Erstellt: 03C19.png {"dauerMs":246}
2026-09-14 06:44:35 [info] Erstellt: 03C20.png {"dauerMs":256}
2026-09-14 06:44:36 [info] Erstellt: 03C21.png {"dauerMs":256}
2026-09-14 06:44:36 [info] Erstellt: 03C22.png {"dauerMs":259}
2026-09-14 06:44:36 [info] Erstellt: 03C23.png {"dauerMs":252}
